feature,ic,ic_pvalue,hit_rate,n_samples,domain,ic_qvalue,is_significant,abs_ic
M_V_sortino_42_rat_N,0.0037421400502394776,0.783469943357563,0.4995366079703429,5396,Volatility,0.9815837144874164,False,0.0037421400502394776
L_M_S_mfi_21_bnd_N,-0.003680205416011241,0.786542917191039,0.5067380468894221,5418,Volume,0.9815837144874164,False,0.003680205416011241
V_D_F_S_premiumRange_pct_N,0.0034715646180488776,0.7980116407288573,0.50708111090675,5438,Volatility,0.9815837144874164,False,0.0034715646180488776
M_V_sharpe_42_rat_N,0.0032525527567256467,0.8112238891071322,0.4995366079703429,5396,Volatility,0.9815837144874164,False,0.0032525527567256467
V_volMomentum_6_pct_N,0.0032204967383490934,0.812489268323782,0.4985261606484893,5429,Volatility,0.9815837144874164,False,0.0032204967383490934
N_V_atrPercentile_21_rnk_N,0.0031353082610420155,0.8175591026357564,0.5068316100443131,5417,Volatility,0.9815837144874164,False,0.0031353082610420155
D_F_T_premiumMa_21_pct_N,-0.002864793133859605,0.8327387838835087,0.5080007356998345,5438,Premium,0.9815837144874164,False,0.002864793133859605
D_N_V_markAtrRatio_6_rat_N,0.002767812394897816,0.838336190344515,0.5073583517292126,5437,Volatility,0.9815837144874164,False,0.002767812394897816
L_M_S_obv_42_zsc_N,0.0023267460349412667,0.8643325359113827,0.4989805375347544,5396,Volatility,0.9815837144874164,False,0.0023267460349412667
D_N_V_markAtrRatio_12_rat_N,0.0022673883398296136,0.8672641609826957,0.5073583517292126,5437,Volatility,0.9815837144874164,False,0.0022673883398296136
C_N_bodySize_bnd_N,0.002175417949134013,0.8725896523705698,0.507265035865367,5438,Candlestick,0.9815837144874164,False,0.002175417949134013
M_V_calmar_42_rat_N,0.0021399910592439573,0.8751285866042353,0.4995366079703429,5396,Volatility,0.9815837144874164,False,0.0021399910592439573
V_volOfVol_21_pct_N,0.0021316899329092923,0.875426120633197,0.5069303271114397,5412,Volatility,0.9815837144874164,False,0.0021316899329092923
V_kurtosis_42_rat_N,-0.001941338972059743,0.886637904422444,0.5097312326227988,5396,Volatility,0.9815837144874164,False,0.001941338972059743
M_winRate_21_bnd_N,-0.0019058795376335432,0.8884695731089394,0.5067380468894221,5418,Other,0.9815837144874164,False,0.0019058795376335432
F_I_N_S_fundingZscore_42_zsc_N,-0.0018731300763359594,0.8901728355555024,0.4910796395070811,5438,Funding,0.9815837144874164,False,0.0018731300763359594
D_N_V_markAtrRatio_21_rat_N,0.0018045315003784815,0.8941805392864103,0.5073583517292126,5437,Volatility,0.9815837144874164,False,0.0018045315003784815
F_I_N_S_fundingZscore_21_zsc_N,0.001767375985996202,0.8963374656173277,0.4805959168659187,5438,Funding,0.9815837144874164,False,0.001767375985996202
N_V_atrPercentile_42_rnk_N,-0.0015982033349303574,0.9065732199658694,0.5069508804448564,5396,Volatility,0.9815837144874164,False,0.0015982033349303574
L_M_N_S_oiRoc_3_pct_N,-0.0015477579198279825,0.9091840219686945,0.49852778800147224,5435,OpenInterest,0.9815837144874164,False,0.0015477579198279825
V_maxDrawdown_42_pct_N,0.0014390357219571917,0.9158334809245525,0.49258710155670865,5397,Volatility,0.9815837144874164,False,0.0014390357219571917
V_volMomentum_12_pct_N,0.001311831107778036,0.9230863765866075,0.4969551577781879,5420,Volatility,0.9815837144874164,False,0.001311831107778036
V_volOfVol_12_pct_N,-0.0012977156692011848,0.9239044467196718,0.5070110701107011,5421,Volatility,0.9815837144874164,False,0.0012977156692011848
L_M_S_mfi_6_bnd_N,0.0012798089631179137,0.9259595661427157,0.4968720379146919,5276,Volume,0.9815837144874164,False,0.0012798089631179137
L_V_amihudIlliquidity_12_rat_N,0.001242836860494238,0.9270797395881244,0.5072811059907835,5426,Volatility,0.9815837144874164,False,0.001242836860494238
L_V_amihudIlliquidity_21_rat_N,0.001056103733297173,0.9380631713575678,0.5068316100443131,5417,Volatility,0.9815837144874164,False,0.001056103733297173
L_V_amihudIlliquidity_63_rat_N,-0.001023953524646392,0.9401780297114457,0.5070710829921846,5375,Volatility,0.9815837144874164,False,0.001023953524646392
L_N_S_oiRatio_21_rat_N,-0.0010196471843423494,0.9401916301415616,0.5067380468894221,5418,OpenInterest,0.9815837144874164,False,0.0010196471843423494
F_I_T_fundingMa_7_pct_N,0.0007356850547607883,0.9567487172296685,0.5083685856170682,5438,Funding,0.9877477341152963,False,0.0007356850547607883
F_I_T_fundingMa_3_pct_N,0.0005517369400803542,0.9675561621401271,0.5045061614861137,5438,Funding,0.9877477341152963,False,0.0005517369400803542
M_N_V_rangeExpansion_12_rat_N,0.0005359983747826936,0.9685130482651363,0.5071876151861408,5427,Volatility,0.9877477341152963,False,0.0005359983747826936
F_I_fundingCumulative_3_pct_N,0.0005119114196849272,0.969896871450562,0.5045061614861137,5438,Funding,0.9877477341152963,False,0.0005119114196849272
L_N_volumeRatio_6_rat_N,-0.0003982974888304894,0.9765865601306327,0.5069955817378498,5433,Volume,0.9884961523273478,False,0.0003982974888304894
M_N_V_rangeExpansion_21_rat_N,-0.0002087905907194909,0.9877421843789054,0.5067380468894221,5418,Volatility,0.9937285006478684,False,0.0002087905907194909
F_I_fundingCumulative_7_pct_N,1.7950637012200475e-05,0.9989441563868962,0.5083685856170682,5438,Funding,0.9989441563868963,False,1.7950637012200475e-05
